2022-05-16 13:05:517 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (b951354ccc54ca409bda57ee065f728e)] -> name: Password]
2022-05-16 13:05:96 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (b951354ccc54ca409bda57ee065f728e)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 13:05:653 INFO  HomePage :70 - Click on logout link[[ChromeDriver: chrome on WINDOWS (b951354ccc54ca409bda57ee065f728e)] -> xpath: //a[normalize-space()='Log out']]
2022-05-16 13:05:706 INFO  HomePage :75 - Log out link is displayProxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Log out']'
2022-05-16 13:05:04 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:853 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (5beed8e4b1c14683c7064895b4fabca8)] -> link text: Log in]
2022-05-16 13:05:924 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (5beed8e4b1c14683c7064895b4fabca8)] -> id: Email]
2022-05-16 13:05:981 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (5beed8e4b1c14683c7064895b4fabca8)] -> name: Password]
2022-05-16 13:05:601 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (5beed8e4b1c14683c7064895b4fabca8)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 13:05:179 INFO  HomePage :70 - Click on logout link[[ChromeDriver: chrome on WINDOWS (5beed8e4b1c14683c7064895b4fabca8)] -> xpath: //a[contains(text(),'Log out')]]
2022-05-16 13:05:722 INFO  HomePage :75 - Log out link is displayProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Log out')]'
2022-05-16 13:05:209 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:84 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (c45d73c96715656baab0ed6cea4778ee)] -> link text: Log in]
2022-05-16 13:05:151 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (c45d73c96715656baab0ed6cea4778ee)] -> id: Email]
2022-05-16 13:05:205 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (c45d73c96715656baab0ed6cea4778ee)] -> name: Password]
2022-05-16 13:05:554 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (c45d73c96715656baab0ed6cea4778ee)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-16 13:05:60 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:347 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (15545c3b59ee64f4e873d4c3a570325d)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-16 13:05:410 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (15545c3b59ee64f4e873d4c3a570325d)] -> id: Email]
2022-05-16 13:05:463 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (15545c3b59ee64f4e873d4c3a570325d)] -> name: Password]
2022-05-16 13:05:816 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (15545c3b59ee64f4e873d4c3a570325d)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-16 13:05:219 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:880 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (b6caaeadf40d56af96d047ed2ada336e)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-16 13:05:936 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (b6caaeadf40d56af96d047ed2ada336e)] -> id: Email]
2022-05-16 13:05:984 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (b6caaeadf40d56af96d047ed2ada336e)] -> name: Password]
2022-05-16 13:05:338 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (b6caaeadf40d56af96d047ed2ada336e)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-16 18:05:925 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 18:05:667 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 18:05:788 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 18:05:478 INFO  ManageDriver :30 - Launching Chrome Browser
